"country_name"
" 阿布哈兹"
" 阿富汗"
" 阿尔巴尼亚"
" 阿尔及利亚"
" 安道尔"
" 安哥拉"
" 安地卡及巴布达"
" 阿根廷"
" 亚美尼亚"
" 阿尔扎赫"
" 澳大利亚"
" 奥地利"
" 阿塞拜疆"
" 巴哈马"
" 巴林"
" 孟加拉国"
" 巴巴多斯"
" 白俄罗斯"
" 比利时"
" 伯利兹"
" 贝宁"
" 不丹"
" 玻利维亚"
" 波斯尼亚和黑塞哥维那"
" 博茨瓦纳"
" 巴西"
" 文莱"
" 保加利亚"
" 布吉纳法索"
" 布隆迪"
" 柬埔寨"
" 喀麦隆"
" 加拿大"
" 佛得角"
" 中非"
" 乍得"
" 智利"
" 中国"
" 哥伦比亚"
" 科摩罗"
" 刚果（布）"
" 刚果（金）"
" 库克群岛（新西兰）"
" 哥斯达黎加"
" 科特迪瓦"
" 克罗地亚"
" 古巴"
" 赛普勒斯"
" 捷克"
" 丹麦"
" 吉布提"
" 多米尼克"
" 多米尼加"
" 顿涅茨克"
" 厄瓜多尔"
" 埃及"
" 萨尔瓦多"
" 赤道几内亚"
" 厄立特里亚"
" 爱沙尼亚"
" 斯威士兰"
" 衣索比亚"
" 斐济"
" 芬兰"
" 法国"
" 加彭"
" 冈比亚"
" 格鲁吉亚"
" 德国"
" 加纳"
" 希腊"
" 格瑞那达"
" 危地马拉"
" 几内亚"
" 几内亚比绍"
" 圭亚那"
" 海地"
" 洪都拉斯"
" 匈牙利"
" 冰岛"
" 印度"
" 印尼"
" 伊朗"
" 伊拉克"
" 爱尔兰"
" 以色列"
" 义大利"
" 牙买加"
" 日本"
" 约旦"
" 哈萨克斯坦"
" 肯尼亚"
" 基里巴斯"
" 科索沃"
" 科威特"
" 吉尔吉斯斯坦"
" 老挝"
" 拉脱维亚"
" 黎巴嫩"
" 赖索托"
" 利比里亚"
" 利比亚"
" 列支敦斯登"
" 立陶宛"
" 卢甘斯克"
" 卢森堡"
" 马达加斯加"
" 马拉维"
" 马来西亚"
" 马尔地夫"
" 马里"
" 马尔他"
" 马绍尔群岛"
" 毛里塔尼亚"
" 模里西斯"
" 墨西哥"
" 密克罗尼西亚联邦"
" 摩尔多瓦"
" 摩纳哥"
" 蒙古国"
" 蒙特内哥罗"
" 摩洛哥"
" 莫桑比克"
" 缅甸"
" 纳米比亚"
" 瑙鲁"
" 尼泊尔"
" 荷兰"
" 新西兰"
" 尼加拉瓜"
" 尼日尔"
" 奈及利亚"
" 纽埃（新西兰）"
" 朝鲜"
" 北塞浦路斯"
" 北马其顿"
" 挪威"
" 阿曼"
" 巴基斯坦"
" 帛琉"
" 巴勒斯坦"
" 巴拿马"
" 巴布亚新几内亚"
" 巴拉圭"
" 秘鲁"
" 菲律宾"
" 波兰"
" 葡萄牙"
" 德涅斯特河沿岸"
" 卡塔尔"
" 罗马尼亚"
" 俄罗斯"
" 卢旺达"
" 圣基茨和尼维斯"
" 圣卢西亚"
" 圣文森特和格林纳丁斯"
" 萨摩亚"
" 圣马力诺"
" 圣多美和普林西比"
" 沙乌地阿拉伯"
" 塞内加尔"
" 塞尔维亚"
" 塞舌尔"
" 塞拉利昂"
" 新加坡"
" 斯洛伐克"
" 斯洛维尼亚"
" 所罗门群岛"
" 索马利亚"
" 索马利兰"
" 南非"
" 韩国"
" 南奥塞梯"
" 南苏丹"
" 西班牙"
" 斯里兰卡"
" 苏丹"
" 苏里南"
" 瑞典"
" 瑞士"
" 叙利亚"
" 台湾"
" 塔吉克斯坦"
" 坦桑尼亚"
" 泰国"
" 东帝汶"
" 多哥"
" 汤加"
" 千里达及托巴哥"
" 突尼西亚"
" 土耳其"
" 土库曼斯坦"
" 图瓦卢"
" 乌干达"
" 乌克兰"
" 阿联酋"
" 英国"
" 美国"
" 乌拉圭"
" 乌兹别克斯坦"
" 瓦努阿图"
" 梵蒂冈"
" 委内瑞拉"
" 越南"
" 西撒哈拉"
" 叶门"
" 尚比亚"
" 辛巴威"
"马拉塔"
"巴达维亚"
"巴伐利亚"
"奥地利"
"穆罕默德·阿里帕夏"
"马木留克军团"
"波兰军团"
"拉普拉塔总督辖区"
"蒂罗尔"
"夏威夷王国"
"新格拉纳达"
"莱比锡战役"
"巴伐利亚王国"
"切罗基人"
"乔克托族"
"克里克人"
"大清帝国"
"天理教"
"锡金王国"
"巴巴利诸国"
"汉诺威王国"
"阿瓦尔汗国"
"阿迪格人"
"卡特利-卡赫希王国"
"北高加索"
"马拉塔帝国"
"独立派军队"
"立宪派"
"希腊革命者"
"爱奥尼亚群岛合众国"
"西苏门答腊"
"蒂博尼哥罗"
"南部诸省"
"黑鹰酋长"
"伊莎贝拉二世"
"唐·卡洛斯亲王"
"俄亥俄州"
"密歇根领地"
"得克萨斯共和国"
"朱利安那共和国"
"北秘鲁"
"秘鲁-玻利维亚邦联"
"爱国者运动"
"猎人小屋"
"加拿大共和国"
"移民先驱"
"后期圣徒运动"
"爱荷华领地"
"乌拉圭红党"
"阿根廷统一党"
"意大利军团"
"乌拉圭白党"
"加利福尼亚共和国"
"乌里州"
"施维茨州"
"下瓦尔登州"
"上瓦尔登州"
"卢塞恩州"
"楚格州"
"弗里堡州"
"瓦莱州"
"教宗国"
"石勒苏益格－荷尔斯泰因"
"恩特雷里奥斯省"
"科连特斯省"
"乌拉圭国民党"
"捻军"
"保加利亚军团"
"堪萨斯州"
"杜文秀"
"莫卧儿帝国"
"摩门教拓荒者"
"布哈拉汗国"
"希瓦汗国"
"阿劳卡尼亚及巴塔哥尼亚王国"
"美利坚合众国"
"北军"
"美利坚联盟国"
"南军"
"墨西哥合众国"
"法兰西第二帝国"
"墨西哥第二帝国"
"比利时外籍军团"
"水户藩"
"天狗党"
"英属印度"
"不丹"
"日本天皇政府"
"奥羽越列藩同盟"
"虾夷共和国"
"法兰西第三共和国"
"巴黎公社"
"萨伏依王朝"
"西班牙第一共和国"
"莫多克人"
"亚齐苏丹国"
"佐贺藩"
"印第安人"
"科曼什族"
"基奥瓦族"
"夏延族"
"阿拉帕霍族"
"大龟文王国"
"太鲁阁族"
"洪福汗国"
"阿古柏"
"白彦虎"
"熊本藩"
"秋月藩"
"塞尔维亚公国"
"罗马尼亚"
"黑山公国"
"撒奇莱雅族"
"葛玛兰族"
"突尼西亚"
"马赫迪"
"保加利亚亲王国"
"东学党"
"台湾民主国"
"他加禄"
"桑给巴尔苏丹国"
"古巴共和国"
"菲律宾共和国"
"菲律宾保安队"
"菲律宾第一共和国"
"Pulahan"
"苏禄苏丹国"
"摩洛人"
"哥伦比亚保守党"
"哥伦比亚自由党"
"奥兰治自由邦"
"德兰士瓦共和国"
"八国联军"
"义和团"
"阿罗联盟"
"Aro Confederacy"
"葡萄牙帝国"
"奥文本杜人诸王国"
"内志"
"舍迈尔山酋长国"
"汉志王国"
"赫雷罗人"
"Herero people"
"纳马人"
"Nama people"
"巴东"
"塔巴南"
"Tabanan"
"克隆孔"
"Klungkung"
"朝鲜"
"墨西哥反革命武装"
"墨西哥革命者"
"巴尔干同盟"
"国民党"
"协约国"
"亚美尼亚"
"南非"
"德国殖民地"
"鄂图曼帝国"
"中华帝国"
"爱尔兰共和派"
"护法军政府"
"白卫兵"
"红卫兵"
"白军"
"亚美尼亚山地共和国"
"纳戈尔诺-卡拉巴赫"
"阿塞拜疆民主共和国"
"土耳其革命派"
"亚塞拜然苏维埃社会主义共和国"
"匈牙利民主共和国"
"西乌克兰人民共和国"
"戈曼萨共和国"
"威玛共和国"
"波兰人"
"乌克兰苏维埃社会主义共和国"
"格鲁吉亚民主共和国"
"皖系军阀"
"里夫共和国"
"爱尔兰国民军"
"江苏"
"齐燮元"
"浙江"
"卢永祥"
"广州国民政府"
"张作霖"
"郭松龄"
"国民军"
"民国军阀"
"中国国民党"
"中华苏维埃共和国"
"中国工农红军"
"武汉国民政府"
"西山会议派"
"阎锡山"
"张发奎"
"赛德克族"
"圣保罗州"
"奥地利政府"
"奥地利社会民主党"
"叶门穆塔瓦基利亚王国"
"衣索比亚王国"
"西班牙国民军"
"西班牙共和国"
"国际纵队"
"大汉义军"
"冀东防共自治政府"
"北京临时政府"
"中华民国维新政府"
"南非联邦"
"卢森堡"
"自由法国"
"南斯拉夫王国"
"巴拿马"
"哥斯达黎加"
"萨尔瓦多"
"洪都拉斯"
"尼加拉瓜"
"危地马拉"
"印度帝国"
"衣索比亚帝国"
"南斯拉夫"
"土耳其"
"黎巴嫩"
"轴心国"
"克罗地亚独立国"
"意大利社会共和国"
"拉脱维亚"
"汪精卫国民政府"
"越南帝国"
"菲律宾第二共和国"
"缅甸国"
"自由印度临时政府"
"希腊国民军"
"希腊民主军"
"东突厥斯坦第二共和国"
"俄国白军"
"卡塔尔"
"卢旺达爱国阵线"
"卢旺达政府军"
"Rwandan Armed Forces"
"法国陆军"
"总统特别师"
"Special Presidential Division"
"马里"
"尼日尔"
"阿扎瓦德"
"斯洛维尼亚"
"吉布提"
"恢复团结和民主阵线"
"Front for the Restoration of Unity and Democracy"
"波黑联邦"
"塞拉利昂"
"卡马约"
"Kamajors"
"南非雇佣兵"
"尼日利亚"
"西非监测组"
"Economic Community of West African States Monitoring Group"
"革命联合阵线"
"武装部队革命委员会"
"Armed Forces Revolutionary Council"
"伊斯兰拯救阵线"
"Armed Islamic Group"
"什叶派"
"库尔德人"
"北奥塞梯-阿兰共和国"
"顿河哥萨克"
"捷列克河哥萨克"
"Terek Cossacks"
"印古什人"
"伊斯兰党"
"Hezbi Islami"
"阿富汗伊斯兰统一党"
"阿富汗国家伊斯兰运动"
"乌兹别克斯坦"
"德涅斯特河沿岸"
"俄罗斯志愿军"
"苏联第14军"
"14th Army (Soviet Union)"
"乌克兰志愿军"
"罗马尼亚志愿军"
"高加索山区人民联盟"
"Confederation of Mountain Peoples of the Caucasus"
"俄罗斯哥萨克"
"克罗地亚防卫军"
"Croatian Defence Forces"
"克罗地亚赫塞哥波斯尼亚共和国"
"萨帕塔民族解放运动"
"叶门"
"也门民主共和国"
"卡普里维解放军"
"Caprivi Liberation Army"
"欧加登民族解放阵线"
"尼泊尔共产党（毛主义）"
"北方联盟"
"911事件"
"阿富汗伊斯兰酋长国"
"阿联酋"
"AFDL"
"Alliance of Democratic Forces for the Liberation of Congo"
"UNITA"
"卢旺达解放军"
"Army for the Liberation of Rwanda"
"德国"
"德尼·萨苏-恩格索"
"帕斯卡尔·利苏巴"
"洪森"
"柬埔寨人民党"
"越南"
"诺罗敦·拉那烈"
"奉辛比克党"
"红色高棉"
"白色团"
"White Legion"
"森林兄弟会"
"乍得正义与民主运动"
"Movement for Justice and Democracy in Chad"
"科索沃解放军"
"厄立特里亚"
"刚果民主共和国"
"辛巴威"
"刚果解放运动"
"刚果民主联盟"
"图西族"
"安苏马内·马内"
